subject,rhythm,tone,freq,isMeterRel,amp_eeg,amp_coch
5,unsync,low,1.25,0,0.200778052210808,38.3554505323553
6,unsync,low,1.25,0,0.00680201221257448,38.3554505323553
7,unsync,low,1.25,0,0.16258941590786,38.3554505323553
8,unsync,low,1.25,0,0.195045098662376,38.3554505323553
9,unsync,low,1.25,0,0.12419755756855,38.3554505323553
10,unsync,low,1.25,0,0.0786817148327827,38.3554505323553
11,unsync,low,1.25,0,0.106767356395721,38.3554505323553
12,unsync,low,1.25,0,0.176537200808525,38.3554505323553
13,unsync,low,1.25,0,0.103395082056522,38.3554505323553
14,unsync,low,1.25,0,0.0993182361125946,38.3554505323553
1,unsync,low,1.667,0,0.00457996223121881,12.5509606513316
2,unsync,low,1.667,0,0.0260963439941406,12.5509606513316
3,unsync,low,1.667,0,0.0410677567124367,12.5509606513316
4,unsync,low,1.667,0,0.130539700388908,12.5509606513316
5,unsync,low,1.667,0,0.0488682873547077,12.5509606513316
6,unsync,low,1.667,0,-0.00830767583101988,12.5509606513316
7,unsync,low,1.667,0,0.00950523838400841,12.5509606513316
8,unsync,low,1.667,0,0.00896826852113008,12.5509606513316
9,unsync,low,1.667,0,-0.00283247954212129,12.5509606513316
10,unsync,low,1.667,0,0.000326390261761844,12.5509606513316
11,unsync,low,1.667,0,-0.00648045120760798,12.5509606513316
12,unsync,low,1.667,0,0.0403072237968445,12.5509606513316
13,unsync,low,1.667,0,0.0235136952251196,12.5509606513316
14,unsync,low,1.667,0,0.000478318776004016,12.5509606513316
1,unsync,low,2.083,1,0.0621115081012249,12.1498389798791
2,unsync,low,2.083,1,0.00118024076800793,12.1498389798791
3,unsync,low,2.083,1,0.028914749622345,12.1498389798791
4,unsync,low,2.083,1,0.0372888036072254,12.1498389798791
5,unsync,low,2.083,1,0.0554861500859261,12.1498389798791
6,unsync,low,2.083,1,0.0186161193996668,12.1498389798791
7,unsync,low,2.083,1,-0.0126761831343174,12.1498389798791
8,unsync,low,2.083,1,0.0124788712710142,12.1498389798791
9,unsync,low,2.083,1,0.00276027456857264,12.1498389798791
10,unsync,low,2.083,1,-0.0163014475256205,12.1498389798791
11,unsync,low,2.083,1,-0.00124979740940034,12.1498389798791
12,unsync,low,2.083,1,0.0113239334896207,12.1498389798791
13,unsync,low,2.083,1,0.0165239777415991,12.1498389798791
14,unsync,low,2.083,1,-0.0154161984100938,12.1498389798791
